Tanggal,qty,Jumlah
2017-04-15,3668,18889686
2017-04-16,87,447690
2017-04-17,2781,14321944
2017-04-18,4438,22857555
2017-04-19,4015,20678435
2017-04-20,3128,16111466
2017-04-21,4713,24270303
2017-04-22,3770,19414316
2017-04-23,3026,15584519
2017-04-24,4033,20767839
2017-04-25,4406,22690900
2017-04-26,4464,22989600
2017-04-27,4483,23087450
2017-04-28,4432,22824800
2017-04-29,2478,12761700
2017-04-30,2093,10778950
2017-05-01,3405,17535750
2017-05-02,5500,28324000
2017-05-03,2245,11561750
2017-05-04,3908,20126200
2017-05-05,3830,19724500
2017-05-06,3954,20363100
2017-05-07,2292,11803800
2017-05-08,1915,9862250
2017-05-09,768,3955200
2017-05-10,4345,22376750
2017-05-11,2671,13755950
2017-05-12,5183,26692450
2017-05-13,2768,14255200
2017-05-14,181,932150
2017-05-15,1311,6751650
2017-05-16,4836,24905400
2017-05-17,1973,10160950
2017-05-18,2417,12447550
2017-05-19,3255,16763250
2017-05-20,3807,19606050
2017-05-21,3201,16485150
2017-05-22,3169,16320350
2017-05-24,1228,6324200
2017-05-25,2740,14111000
2017-05-26,3896,20064400
2017-05-27,1372,7065800
2017-05-28,2621,13498150
2017-05-29,4744,24431600
2017-05-30,3938,20280700
2017-05-31,2513,12941950
2017-06-01,1193,6143950
2017-06-02,2168,11165200
2017-06-03,3527,18164050
2017-06-04,4388,22598200
2017-06-05,5757,29648550
2017-06-07,3148,16212200
2017-06-08,3126,16098700
2017-06-09,4779,24611850
2017-06-10,4265,21964750
2017-06-11,1789,9213350
2017-06-12,4468,23010200
2017-06-13,3823,19688450
2017-06-14,3988,20538200
2017-06-15,4869,25075350
2017-06-16,3365,17329750
2017-06-17,2899,14929850
2017-06-18,2064,10629600
2017-06-19,3652,18807800
2017-06-20,3266,16819900
2017-06-21,2556,13163300
2017-06-22,1797,9254550
2017-06-23,1854,9548100
2017-06-24,1686,8682900
2017-06-25,941,4846150
2017-06-26,771,3970650
2017-06-27,649,3342350
2017-06-28,901,4640150
2017-06-29,1190,6128500
2017-06-30,1668,8590200
2017-07-01,1542,7941300
2017-07-02,1162,5984300
2017-07-03,5181,26682150
2017-07-04,4484,23092600
2017-07-05,3670,18900500
2017-07-06,3479,17916850
2017-07-07,3985,20522750
2017-07-08,39,200850
2017-07-09,2658,13688700
2017-07-10,5100,26265000
2017-07-11,3984,20517600
2017-07-12,4290,22093500
2017-07-14,2563,13199450
2017-07-15,3984,20517600
2017-07-16,3462,17829300
2017-07-17,3504,18045600
2017-07-18,2405,12385750
2017-07-19,4822,24833300
2017-07-20,4589,23633350
2017-07-21,4466,22979900
2017-07-22,3987,20533050
2017-07-23,2659,13693850
2017-07-24,5098,26254700
2017-07-25,4766,24544900
2017-07-26,1661,8554150
2017-07-27,1780,9167000
2017-07-28,4938,25430700
2017-07-29,4223,21748450
2017-07-30,2070,10660500
2017-07-31,2971,15300650
2017-08-01,3280,16892000
2017-08-02,3807,19606050
2017-08-03,3828,19714200
2017-08-04,4446,22896900
2017-08-05,4537,23365550
2017-08-06,3344,17221600
2017-08-07,3824,19693600
2017-08-08,4600,23690000
2017-08-09,935,4815250
2017-08-10,3768,19405200
2017-08-11,4115,21192250
2017-08-12,4614,23762100
2017-08-13,3441,17721150
2017-08-14,4504,23195600
2017-08-15,4530,23329500
2017-08-16,3724,19178600
2017-08-17,1940,9991000
2017-08-18,3339,17195850
2017-08-19,5903,30400450
2017-08-20,2606,13420900
2017-08-21,4107,21151050
2017-08-22,5164,26594600
2017-08-23,4026,20733900
2017-08-24,2653,13662950
2017-08-25,2319,11942850
2017-08-26,3797,19554550
2017-08-27,2859,14723850
2017-08-28,4352,22412800
2017-08-29,3491,17978650
2017-08-30,3042,15666300
2017-08-31,3264,16809600
2017-09-01,2672,13760800
2017-09-02,2832,14584800
2017-09-03,2451,12622650
2017-09-04,1666,8579900
2017-09-05,3065,15784750
2017-09-06,6135,31595250
2017-09-07,5391,27763650
2017-09-08,1738,8950700
2017-09-09,1614,8312100
2017-09-10,3077,15846550
2017-09-11,5711,29411650
2017-09-12,5449,28062350
2017-09-13,2470,12720500
2017-09-14,5468,28160200
2017-09-15,3056,15738400
2017-09-16,3429,17659350
2017-09-17,3156,16253400
2017-09-18,6140,31621000
2017-09-19,6460,33269000
2017-09-20,2134,10990100
2017-09-21,3672,18910800
2017-09-22,4397,22644550
2017-09-23,3847,19812050
2017-09-24,3044,15676600
2017-09-26,2631,13549650
2017-09-27,4559,23478850
2017-09-28,6776,34896400
2017-09-29,1904,9805600
2017-10-01,2451,12622650
2017-10-02,7123,36683450
2017-10-03,4071,20965650
2017-10-04,4405,22685750
2017-10-05,4347,22387050
2017-10-06,4215,21707250
2017-10-07,4131,21274650
2017-10-08,909,4681350
2017-10-10,2373,12220950
2017-10-11,6840,35226000
2017-10-12,5213,26846950
2017-10-13,1607,8276050
2017-10-14,3703,19100450
2017-10-15,3957,20378550
2017-10-16,5458,28108700
2017-10-17,5175,26651250
2017-10-18,5476,28201400
2017-10-19,5354,27573100
2017-10-20,2925,15063750
2017-10-21,3040,15656000
2017-10-22,2951,15198000
2017-10-23,6573,33850950
2017-10-24,3514,17958050
2017-10-25,4659,23993850
2017-10-26,6279,32336850
2017-10-27,4982,25657300
2017-10-29,1554,8003100
2017-10-30,4366,22484900
2017-10-31,5226,26916900
2017-11-01,4555,23458250
2017-11-03,1957,10078660
2017-11-04,4006,20630900
2017-11-05,2406,12390900
2017-11-06,6210,31981500
2017-11-07,2541,13086150
2017-11-08,5260,27089000
2017-11-09,5000,25750000
2017-11-10,4439,22860850
2017-11-11,3034,15625900
2017-11-12,3696,19034400
2017-11-13,6981,35952150
2017-11-14,2328,11989200
2017-11-15,811,4176650
2017-11-16,6146,31651900
2017-11-17,4658,23988700
2017-11-18,4758,24503700
2017-11-19,3000,15450000
2017-11-20,4165,21449750
2017-11-21,3007,15486050
2017-11-22,5060,26059000
2017-11-23,3504,18046600
2017-11-24,3395,17484250
2017-11-25,3833,19739950
2017-11-26,2276,11721400
2017-11-27,3350,17252500
2017-11-28,2500,12875000
2017-11-29,3895,20079850
2017-11-30,4301,22149450
2017-12-01,2314,11917100
2017-12-02,3489,17968420
2017-12-03,2198,11319700
2017-12-04,3860,19879000
2017-12-05,2186,11257900
2017-12-06,2624,13513600
2017-12-07,2840,14626000
2017-12-08,3180,16377000
2017-12-09,3171,16330650
2017-12-10,2900,14935000
2017-12-11,3517,18112550
2017-12-12,3778,19456700
2017-12-13,3666,18879900
2017-12-14,3304,17015600
2017-12-15,2773,14280950
2017-12-16,2479,12766150
2017-12-17,2158,11113700
2017-12-18,3006,15480900
2017-12-19,4924,25358600
2017-12-20,3895,20059250
2017-12-21,3770,19415500
2017-12-22,2684,13822600
2017-12-23,2198,11319800
2017-12-24,2409,12406350
2017-12-25,2330,11999500
2017-12-26,2360,12154000
2017-12-27,2659,13693850
2017-12-28,2836,14600250
2017-12-29,2374,12226100
2017-12-30,2757,14198500
2017-12-31,1177,6061550
2018-01-01,1867,9615050
2018-01-02,3127,16335800
2018-01-03,3703,19070450
2018-01-04,2796,14399400
2018-01-05,3232,16644800
2018-01-06,3290,16943500
2018-01-07,2546,13111900
2018-01-08,1779,9161850
2018-01-09,3258,16798700
2018-01-10,3371,17360650
2018-01-11,2389,12303350
2018-01-12,3406,17540900
2018-01-13,3716,19140400
2018-01-14,2684,13822600
2018-01-15,3222,16593300
2018-01-16,4151,21377650
2018-01-17,3443,17731450
