Tanggal,qty,Jumlah
2016-12-09,5370,34635274
2016-12-10,8710,56178661
2016-12-11,8617,55582165
2016-12-12,9028,58228793
2016-12-13,4499,29016421
2016-12-14,8340,53793258
2016-12-15,6781,43740287
2016-12-16,6854,44210170
2016-12-17,8074,52077300
2016-12-18,8437,54421810
2016-12-19,5242,33809867
2016-12-21,7100,45796483
2016-12-22,7062,45549061
2016-12-23,7859,50689260
2016-12-24,9962,64255094
2016-12-25,9740,62820742
2016-12-26,9399,60625355
2016-12-27,8750,56439435
2016-12-28,8200,52891354
2016-12-29,7952,51290851
2016-12-30,8306,53571700
2016-12-31,11832,76316916
2017-01-01,8743,56390092
2017-01-02,7724,49817929
2017-01-03,9302,59995707
2017-01-04,5350,34559552
2017-01-05,7622,49163060
2017-01-06,7889,50882887
2017-01-07,8350,53858338
2017-01-08,8726,56283281
2017-01-09,7971,51415787
2017-01-10,8701,56124223
2017-01-11,7963,51358125
2017-01-12,7361,47479159
2017-01-13,7121,45929805
2017-01-14,8448,54491019
2017-01-15,8057,51961716
2017-01-16,7544,48659638
2017-01-17,7889,50884953
2017-01-18,7035,45373105
2017-01-19,8243,53169542
2017-01-20,7634,49239170
2017-01-21,7443,48004318
2017-01-22,7537,48614553
2017-01-23,6507,41968537
2017-01-24,7085,45699992
2017-01-25,6602,42584319
2017-01-26,7406,47769474
2017-01-27,7792,50257238
2017-01-28,8601,55476966
2017-01-29,8801,56766214
2017-01-30,7972,51416884
2017-01-31,4421,28516353
2017-02-01,7091,45735208
2017-02-02,7926,51121862
2017-02-03,9533,61488495
2017-02-04,9335,60208040
2017-02-05,7580,48892225
2017-02-06,8556,55188521
2017-02-07,5271,33996144
2017-02-08,7626,49188151
2017-02-09,8434,54396397
2017-02-10,8259,53268744
2017-02-11,8150,52567500
2017-02-12,8700,56000062
2017-02-13,10697,68997392
2017-02-14,9836,63265541
2017-02-15,6971,44962305
2017-02-16,3432,22136207
2017-02-17,2910,18767823
2017-02-18,7889,50882373
2017-02-19,8303,53553575
2017-02-20,7828,50492019
2017-02-21,8296,53509845
2017-02-22,7637,49257682
2017-02-23,7205,46472766
2017-02-24,7791,50254918
2017-02-25,9128,58873279
2017-02-26,8174,52719139
2017-02-27,7748,49973116
2017-02-28,7242,46712126
2017-03-01,8593,55423882
2017-03-02,7458,48103261
2017-03-03,7791,50253368
2017-03-04,9094,58658170
2017-03-05,8793,56711818
2017-03-06,9789,63136535
2017-03-07,634,4087172
2017-03-08,7177,46289521
2017-03-09,8473,54642787
2017-03-10,6814,43947719
2017-03-11,9061,58446546
2017-03-12,7587,48936796
2017-03-13,9126,58860727
2017-03-14,10483,67608578
2017-03-15,6093,39302043
2017-03-16,8125,52408636
2017-03-17,8613,55554237
2017-03-18,9492,61226432
2017-03-19,9929,64040309
2017-03-20,11580,74692032
2017-03-21,9753,62905109
2017-03-22,8530,55015534
2017-03-23,8357,53905424
2017-03-24,9423,60778544
2017-03-25,10035,64722977
2017-03-26,10120,65271549
2017-03-27,9426,60798087
2017-03-28,7943,51233254
2017-03-29,8881,57282966
2017-03-30,9287,59903860
2017-03-31,9813,63292174
2017-04-01,10129,65329728
2017-04-02,10064,64911446
2017-04-03,11560,74562839
2017-04-04,9881,63733482
2017-04-05,10445,67370831
2017-04-06,9939,64104229
2017-04-07,11100,71593259
2017-04-08,11419,73652615
2017-04-09,11036,71182265
2017-04-10,11833,76322528
2017-04-11,9206,59377732
2017-04-12,8983,57942092
2017-04-13,10128,65323275
2017-04-14,10149,65457826
2017-04-15,10213,65871916
2017-04-16,11491,74114371
2017-04-17,10054,64849784
2017-04-18,10306,66475184
2017-04-19,9773,63032755
2017-04-20,9651,62250047
2017-04-21,10138,65390036
2017-04-22,11127,71767086
2017-04-23,10299,66428422
2017-04-24,11072,71416400
2017-04-26,6509,41983050
2017-04-27,9553,61616850
2017-04-28,10654,68718300
2017-04-29,10982,70833900
2017-04-30,10179,65654550
2017-05-01,11187,72156150
2017-05-02,10908,70356600
2017-05-03,802,5172900
2017-05-04,7880,50826000
2017-05-06,5231,33739950
2017-05-07,11939,77006550
2017-05-08,6805,43892250
2017-05-09,7832,50516400
2017-05-10,31,200000
2017-05-11,6187,39906150
2017-05-12,2052,13235400
2017-05-13,7660,49407000
2017-05-17,7102,45807900
2017-05-18,7960,51342000
2017-05-19,47,299989
2017-05-23,7844,50593800
2017-05-25,10,64500
2017-05-27,5306,34223700
2017-05-28,2764,17827800
2017-06-01,7772,50129400
2017-06-03,21,135450
2017-06-05,7451,48058950
2017-06-06,478,3083100
2017-06-07,9833,63422850
2017-06-08,5845,37700250
2017-06-09,2590,16705500
2017-06-10,8321,53670450
2017-06-11,11725,75626250
2017-06-12,9330,60178500
2017-06-13,4819,31082550
2017-06-14,10816,69763200
2017-06-15,5367,34617150
2017-06-16,10985,70853250
2017-06-17,12545,80915250
2017-06-18,12743,82192350
2017-06-19,5863,37813360
2017-06-20,10101,65151450
2017-06-21,13630,87913500
2017-06-22,15008,96801600
2017-06-23,15219,98162550
2017-06-24,15267,98472150
2017-06-25,8450,54502500
2017-06-26,11466,73955700
2017-06-27,9915,63951750
2017-06-28,9911,63925950
2017-06-29,9355,60339750
2017-06-30,9239,59591550
2017-07-01,10507,67770150
2017-07-02,10597,68350650
2017-07-03,9362,60384900
2017-07-04,9745,62855250
2017-07-05,8967,57837150
2017-07-06,12625,81431250
2017-07-07,2914,18795300
2017-07-08,14768,95253600
2017-07-09,14247,91893150
2017-07-11,13039,84101550
2017-07-12,14414,92970300
2017-07-13,14025,90461250
2017-07-14,10455,67434750
2017-07-15,14887,96021150
2017-07-16,13392,86378400
2017-07-17,15715,101361750
2017-07-18,14846,95756700
2017-07-19,13512,87152400
2017-07-20,13749,88681050
2017-07-21,4243,27367350
2017-07-22,7802,50322900
2017-07-23,7253,46781850
2017-07-24,985,6353250
2017-07-25,7653,49361850
2017-07-26,4881,31482450
2017-07-27,8179,52754550
2017-07-28,8382,54063900
2017-07-29,10403,67099350
2017-07-30,4453,28721850
2017-07-31,3355,21639750
2017-08-01,7759,50045550
2017-08-02,7886,50864700
2017-08-03,31,200000
2017-08-04,8114,52335300
2017-08-05,6821,43995450
2017-08-06,931,6004950
2017-08-08,7002,45162900
2017-08-09,1028,6630600
2017-08-11,4693,30269850
2017-08-12,10988,70872600
2017-08-13,8243,53167350
2017-08-14,7847,50613150
2017-08-15,7839,50561550
2017-08-16,6760,43602800
2017-08-17,9121,58830450
2017-08-19,6338,40880100
2017-08-20,1622,10461900
2017-08-22,635,4095750
2017-08-23,13838,89255100
2017-08-24,1338,8630100
2017-08-25,13290,85720500
2017-08-26,2589,16699050
2017-08-27,7940,51213000
2017-08-29,7710,49730500
2017-08-30,8090,52180500
2017-09-01,1534,9894300
2017-09-02,14169,91390050
2017-09-03,7838,50555100
2017-09-05,7932,51161400
2017-09-07,7830,50503500
2017-09-08,7827,50484150
2017-09-09,7848,50619600
2017-09-11,7871,50767950
2017-09-12,1479,9539550
2017-09-13,6099,39338550
2017-09-14,6557,42292650
2017-09-15,9486,61184700
2017-09-17,7966,51380700
2017-09-18,7867,50742150
2017-09-19,7915,51051750
2017-09-21,7663,49426350
2017-09-22,8345,53825250
2017-09-23,8049,51916050
2017-09-24,37,238650
2017-09-26,7626,49187700
2017-09-28,6,38700
2017-09-30,7998,51587100
2017-10-03,7774,50141300
2017-10-05,8126,52412700
2017-10-07,7770,50116500
2017-10-08,7982,51483900
2017-10-09,46,296700
2017-10-10,7959,51335550
2017-10-11,9,58050
2017-10-13,8118,52363100
2017-10-15,7278,46943100
2017-10-16,8495,54792750
2017-10-17,7638,49265100
2017-10-18,7899,50950100
2017-10-19,8161,52638450
2017-10-21,7954,51303306
2017-10-22,11410,73594500
2017-10-23,4469,28825050
2017-10-24,7903,50974350
2017-10-25,7931,51154950
2017-10-26,7255,46794750
2017-10-28,8438,54425100
2017-10-31,7734,49884300
2017-11-01,22,141900
2017-11-03,8227,53063150
2017-11-04,7710,49729500
2017-11-05,41,264450
2017-11-06,57,367660
2017-11-07,7968,51393600
2017-11-09,20,129000
2017-11-11,8022,51741900
2017-11-14,7992,51548400
2017-11-15,7468,48168600
2017-11-17,8318,53651100
2017-11-19,7739,49916550
2017-11-21,7678,49523100
2017-11-22,8250,53212500
2017-11-24,6653,42911850
2017-11-25,1292,8333400
2017-11-27,7976,51445200
2017-11-28,7810,50374500
2017-11-29,7788,50268600
2017-12-01,8094,52206300
2017-12-04,7942,51225900
2017-12-05,7447,48033150
2017-12-06,31,199950
2017-12-07,8130,52438500
2017-12-08,7800,50310000
2017-12-10,7991,51541950
2017-12-11,10,64500
2017-12-12,8095,52212750
2017-12-14,7799,50303550
2017-12-15,7865,50729250
2017-12-17,7881,50832450
2017-12-19,8059,51980550
2017-12-21,7889,50851800
2017-12-22,7926,49122700
2017-12-24,7823,50458350
2017-12-25,136,877200
2017-12-26,7821,50445450
2017-12-28,7952,51290400
2017-12-29,8088,52167600
2017-12-31,7793,50264850
2018-01-01,7919,51077550
2018-01-02,7980,51471000
2018-01-04,27,174150
2018-01-05,7884,50851800
2018-01-07,7729,49852050
2018-01-08,7871,50767950
2018-01-10,7958,51329100
2018-01-12,7695,49632750
2018-01-14,8130,52438500
2018-01-16,7967,51387150
2018-01-17,7879,50819500
2018-01-19,7988,51522600
2018-01-21,7913,51038850
2018-01-22,7900,50955000
2018-01-24,7996,51574200
2018-01-26,6776,43705200
2018-01-27,1135,7320750
2018-01-28,8017,51709650
2018-01-29,7958,51329100
2018-01-31,7923,51103350
2018-02-01,7890,50890500
2018-02-03,7956,51316200
2018-02-05,7785,50213250
2018-02-07,7861,50703450
2018-02-08,7944,51238800
2018-02-10,7996,51574200
2018-02-12,7953,51296850
2018-02-14,7770,50116500
2018-02-15,7920,51084000
2018-02-18,7801,50316450
2018-02-19,8054,51948300
2018-02-21,7857,50677650
2018-02-22,7972,51419400
2018-02-24,8078,52103100
2018-02-26,15412,99407750
2018-02-27,8247,53193150
2018-02-28,7830,50503500
2018-03-01,14101,90951450
2018-03-02,1712,11042600
2018-03-05,15898,102542100
2018-03-08,7917,51064650
2018-03-10,8017,51709650
2018-03-13,7834,50529300
2018-03-14,7954,51303300
2018-03-15,7868,50748600
2018-03-17,7949,51271000
2018-03-18,16,103200
2018-03-20,7769,50110050
2018-03-21,7951,51283950
2018-03-22,7951,51283850
2018-03-24,8015,51696750
2018-03-27,15735,101491750
2018-03-28,6221,40125450
2018-03-29,16910,109101750
2018-03-30,13820,89139000
2018-03-31,16089,103774050
2018-04-01,17974,115945200
2018-04-02,17781,114687450
2018-04-03,16922,109791900
2018-04-04,16627,107244156
2018-04-05,17815,114906750
2018-04-06,17127,110469150
2018-04-07,11747,75768150
2018-04-08,11175,72078650
2018-04-09,18545,119615250
2018-04-10,17348,111894600
2018-04-11,15673,101090850
2018-04-12,17792,114758400
2018-04-13,18522,119466900
2018-04-14,16810,108424500
2018-04-15,18198,117377100
2018-04-16,17830,115326000
2018-04-17,15432,99536400
2018-04-18,16730,107909400
2018-04-19,17990,116035500
2018-04-20,16746,108011700
2018-04-21,16313,105219350
2018-04-22,17514,112965300
2018-04-23,17768,114603600
2018-04-24,15013,96833850
2018-04-25,18103,116764350
2018-04-26,18898,121892100
2018-04-27,19377,124981650
2018-04-28,16197,104470650
2018-04-29,18913,121988850
2018-04-30,18890,121840500
2018-05-01,18967,122336350
2018-05-02,20147,129948150
2018-05-03,19950,128677500
2018-05-04,19211,123910950
2018-05-05,19534,125994700
2018-05-06,19154,123543300
2018-05-07,20330,131128500
2018-05-08,19441,125394450
2018-05-09,21232,136946400
2018-05-10,17392,112178400
2018-05-11,11993,77355650
2018-05-12,15842,102180900
2018-05-13,16691,107656950
2018-05-14,20725,133676250
2018-05-15,10236,66022200
2018-05-16,15248,98349600
2018-05-17,14467,93312150
2018-05-18,15391,99272600
2018-05-19,15535,100200750
2018-05-20,16327,105309150
2018-05-21,16431,105979950
2018-05-22,16178,104348100
2018-05-23,17648,113829600
2018-05-24,16625,107231250
2018-05-25,17354,111933300
2018-05-26,16525,106586250
2018-05-27,15294,98646300
2018-05-28,17771,114622951
2018-05-29,16396,105754200
2018-05-30,16937,109243650
2018-05-31,16135,104070750
2018-06-01,17281,111462450
2018-06-02,18133,116957850
2018-06-03,16906,109043700
2018-06-04,12522,80766900
2018-06-05,17669,113965050
2018-06-06,17819,114932550
2018-06-07,18357,118402650
2018-06-08,13597,87700650
2018-06-09,17408,112281600
2018-06-10,19611,126490950
2018-06-11,19833,127922850
2018-06-12,21107,136140150
